"","X.1","Longitude","Latitude","Reference","Gear_Type","month","year","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Temperature.Min","Salinity.Min","Dissolved.oxygen.Min","BottomVegCover","Hill0_raw","SeagrassCover","ID","X","Y","thinning","Effort"
"1",1,-82.810067,28.17805,"ANM2005050209","OtterTrawl",5,2005,1,0,0,0,0,0,0,-3.5,1.31145620346069,53.854118347168,0.0139488261193037,15.4805612564087,31.4174423217773,190.661636352539,0,2,0,14,322306.535985486,3118251.83581099,1,NA
"2",2,-82.8062,28.169183,"ANM2005060209","OtterTrawl",6,2005,1,1,0,1,1,0,0,-1.6,0.572877943515778,52.939582824707,0.0138978194445372,15.4878959655762,31.4304332733154,190.674987792969,100,14,100,16,322671.598890917,3117263.63538783,1,NA
"3",3,-85.014,29.692033,"APM2001010401","OtterTrawl",1,2001,0,1,0,0,0,0,0,-1,2.40170526504517,62.7789306640625,0.0375431589782238,15.7666797637939,30.1126766204834,195.423004150391,0,6,0,376,111506.260723494,3291408.69469113,1,NA
"4",4,-84.91325,29.705783,"APM2001010701","OtterTrawl",1,2001,1,0,0,0,0,0,0,-2,2.73437261581421,53.8685264587402,0.0364302545785904,15.5173959732056,30.4195423126221,194.85107421875,0,4,0,381,121316.888612733,3292599.11204356,1,NA
"5",5,-84.5153,29.88945,"APM2001011006","OtterTrawl",1,2001,1,0,0,0,0,0,0,-2.8,2.51484489440918,11.522891998291,0.0278514232486486,14.7356967926025,31.2379665374756,193.248107910156,0,5,0,386,160474.322754495,3311730.10660053,1,NA
"6",6,-84.822533,29.735833,"APM2001020405","OtterTrawl",2,2001,1,1,0,0,0,0,0,-3.1,2.48678708076477,44.8395004272461,0.0341526418924332,15.4010667800903,30.5697994232178,194.469467163086,0,5,0,391,130212.698215382,3295638.198476,1,NA
"7",7,-84.84625,29.673283,"APM2001020406","OtterTrawl",2,2001,1,1,0,0,0,0,0,-3.9,0.092372864484787,51.0168685913086,0.0357895642518997,15.4778385162354,32.078971862793,194.699768066406,0,5,0,392,127685.420659705,3288775.78958743,1,NA
"8",8,-84.980317,29.69,"APM2001040203","OtterTrawl",4,2001,0,1,0,0,0,0,0,-1.8,3.02370285987854,60.1980247497559,0.037712674587965,15.6873712539673,30.203670501709,195.284057617188,0,8,0,432,114761.185939584,3291070.22055767,1,NA
"9",9,-85.030067,29.67955,"APM2001040307","OtterTrawl",4,2001,0,1,0,0,0,0,0,-2.4,3.24210119247437,64.8899002075195,0.0376558788120747,15.8098487854004,30.0652198791504,195.488418579102,0,12,0,433,109901.58594734,3290077.99428515,1,NA
"10",10,-85.0024,29.663717,"APM2001040308","OtterTrawl",4,2001,0,1,0,0,0,0,0,-2.7,5.5423846244812,63.6228523254395,0.0376752056181431,15.7588415145874,30.1316051483154,195.374328613281,0,13,0,434,112521.069770585,3288228.27504492,1,NA
"11",11,-84.999517,29.683333,"APM2001040309","OtterTrawl",4,2001,0,1,0,0,0,0,0,-2.2,3.32934522628784,62.1479721069336,0.037630770355463,15.7386112213135,30.14768409729,195.364044189453,0,13,0,435,112875.738938904,3290394.82866978,1,NA
"12",12,-85.00115,29.614117,"APM2001080707","OtterTrawl",8,2001,1,0,0,0,0,0,0,-1.8,1.11139869689941,66.8372116088867,0.0382057800889015,15.7978963851929,30.6460399627686,195.411087036133,0,19,0,510,112451.838456712,3282721.40514529,1,NA
"13",13,-84.872133,29.684767,"APM2002030301","OtterTrawl",3,2002,0,1,0,0,0,0,0,-2,2.04435229301453,52.1741943359375,0.0355784371495247,15.5061206817627,31.5502090454102,194.728012084961,0,2,0,596,125220.706344312,3290133.47639195,1,NA
