"","X.1","Longitude","Latitude","Reference","Gear_Type","month","year","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Temperature.Min","Salinity.Min","Dissolved.oxygen.Min","BottomVegCover","Hill0_raw","SeagrassCover","ID","X","Y","thinning","Effort"
"1",1,-82.793,28.175867,"ANM2004100106","SmallSeine",10,2004,1,0,0,0,0,0,0,-0.2,0.187925979495049,52.4490509033203,0.0137896789237857,15.4908924102783,31.4076271057129,190.686538696289,0,6,0,3,323978.726759654,3117985.05189205,1,0.68
"2",2,-82.799617,28.176217,"ANM2004120201","SmallSeine",12,2004,1,1,0,1,0,0,1,-0.2,0.56601756811142,52.9350967407227,0.0138493413105607,15.4873485565186,31.412504196167,190.677642822266,100,9,100,4,323329.583153645,3118033.456184,1,0.68
"3",3,-82.800583,28.172917,"ANM2005010207","SmallSeine",1,2005,1,1,0,1,1,0,0,-0.2,0.288890302181244,52.7507972717285,0.0138504700735211,15.4889345169067,31.42041015625,190.6796875,100,8,100,8,323229.304794116,3117669.19578431,1,0.68
"4",4,-82.801233,28.17675,"ANM2005030205","SmallSeine",3,2005,1,0,0,0,0,0,0,-0.2,0.616955876350403,53.1186637878418,0.0138658126816154,15.4859552383423,31.4119281768799,190.674621582031,0,6,0,9,323171.786486218,3118094.87225487,1,0.68
"5",5,-82.8009,28.170417,"ANM2005040206","SmallSeine",4,2005,1,1,0,1,0,0,1,-0.2,0.123395703732967,52.6293334960938,0.0138533655554056,15.4900169372559,31.4262981414795,190.680923461914,40,6,40,10,323194.065687948,3117392.63670586,1,0.68
"6",6,-82.802367,28.169617,"ANM2005040207","SmallSeine",4,2005,1,1,0,1,1,0,1,-0.6,0.163679391145706,52.6302719116211,0.0138594778254628,15.490086555481,31.4284839630127,190.680587768555,80,3,80,11,323048.697452806,3117306.12905329,1,0.68
"7",7,-82.807883,28.176167,"ANM2005050207","SmallSeine",5,2005,1,0,1,0,0,0,0,-0.2,1.04289853572845,53.5477447509766,0.0139239197596908,15.4829187393188,31.4186019897461,190.666519165039,0,4,0,12,322517.86814156,3118039.98472384,1,0.68
"8",8,-82.80435,28.176783,"ANM2005050208","SmallSeine",5,2005,1,0,0,1,0,0,1,-0.6,0.857678532600403,53.3632202148438,0.0138955386355519,15.4841804504395,31.4144763946533,190.670181274414,10,4,10,13,322865.786561158,3118103.07762771,1,0.68
"9",9,-82.8157,28.174167,"ANM2005070204","SmallSeine",7,2005,1,0,1,1,1,1,0,-0.5,1.57384872436523,53.983512878418,0.0139888226985931,15.4799680709839,31.4267463684082,190.658050537109,50,8,50,17,321747.00323468,3117829.83105895,1,0.68
"10",10,-82.808683,28.175933,"ANM2005070205","SmallSeine",7,2005,1,0,0,0,0,0,0,-0.2,1.10253119468689,53.6093139648438,0.0139313768595457,15.482476234436,31.41921043396,190.665405273438,0,4,0,18,322438.92996521,3118015.22646815,1,0.68
"11",11,-82.81635,28.1734,"ANM2005080206","SmallSeine",8,2005,1,0,1,0,0,0,0,-1.3,1.62203800678253,53.9857559204102,0.0139952497556806,15.4800443649292,31.4286022186279,190.65771484375,0,3,0,19,321681.906212459,3117745.79602331,1,0.68
"12",12,-82.806767,28.176667,"ANM2005090102","SmallSeine",9,2005,1,0,0,0,0,0,0,-1,1.04322504997253,53.5472183227539,0.0139178335666656,15.4828500747681,31.4163875579834,190.666854858398,0,6,0,21,322628.272776092,3118093.75640598,1,0.68
"13",13,-82.80465,28.174033,"ANM2005090103","SmallSeine",9,2005,1,0,0,0,0,0,0,-1,0.674036681652069,53.1798896789551,0.0138911865651608,15.4857110977173,31.4195346832275,190.67253112793,0,5,0,22,322831.796545389,3117798.79211288,1,0.68
