"","X.1","Longitude","Latitude","Reference","Region","month","year","Sand","Mud","Rocks","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Temperature.Min","Nitrate.Range","Salinity.Min","BottomVegCover","Seagrass_PA","TH_PA","SY_PA","HA_PA","SeagrassCover","ID","X","Y","thinning","Light.bottom.min.calculated"
"1",1,-82.793,28.175867,"ANM2004100106",2,10,2004,1,0,0,-0.2,0.187925979495049,10,0.0137896789237857,15.4908924102783,9.16512966156006,31.4076271057129,0,0,0,0,0,0,3,323978.726759654,3117985.05189205,1,2.6897885799408
"2",2,-82.799617,28.176217,"ANM2004120201",2,12,2004,1,1,0,-0.2,0.56601756811142,10,0.0138493413105607,15.4873485565186,9.16272258758545,31.412504196167,100,1,0,0,1,100,4,323329.583153645,3118033.456184,1,23.6104145050049
"3",3,-82.800583,28.172983,"ANM2004120203",3,12,2004,1,1,0,-0.2,0.288890302181244,10,0.0138504700735211,15.4889345169067,9.16162395477295,31.42041015625,0,0,0,0,0,0,6,323229.41334115,3117676.50914224,1,23.4796199798584
"4",4,-82.801233,28.17675,"ANM2005030205",2,3,2005,1,0,0,-0.2,0.616955876350403,10,0.0138658126816154,15.4859552383423,9.16232776641846,31.4119281768799,0,0,0,0,0,0,9,323171.786486218,3118094.87225487,1,23.6268501281738
"5",5,-82.8009,28.170417,"ANM2005040206",3,4,2005,1,1,0,-0.2,0.123395703732967,10,0.0138533655554056,15.4900169372559,9.16067218780518,31.4262981414795,40,1,0,0,1,40,10,323194.065687948,3117392.63670586,1,4.40219163894653
"6",6,-82.802367,28.169617,"ANM2005040207",3,4,2005,1,1,0,-0.6,0.163679391145706,10,0.0138594778254628,15.490086555481,9.1601037979126,31.4284839630127,80,1,1,0,1,80,11,323048.697452806,3117306.12905329,1,23.3499011993408
"7",7,-82.807883,28.176167,"ANM2005050207",3,5,2005,1,0,1,-0.2,1.04289853572845,10,0.0139239197596908,15.4829187393188,9.15971374511719,31.4186019897461,0,0,0,0,0,0,12,322517.86814156,3118039.98472384,1,13.5825595855713
"8",8,-82.80435,28.176783,"ANM2005050208",2,5,2005,1,0,0,-0.6,0.857678532600403,10,0.0138955386355519,15.4841804504395,9.16115379333496,31.4144763946533,10,1,0,0,1,10,13,322865.786561158,3118103.07762771,1,0.884896218776703
"9",9,-82.810067,28.17805,"ANM2005050209",2,5,2005,1,0,0,-3.5,1.31145620346069,10,0.0139488261193037,15.4805612564087,9.15938949584961,31.4174423217773,0,0,0,0,0,0,14,322306.535985486,3118251.83581099,1,0.00363145442679524
"10",10,-82.8062,28.169183,"ANM2005060209",3,6,2005,1,1,0,-1.6,0.572877943515778,10,0.0138978194445372,15.4878959655762,9.15830039978027,31.4304332733154,100,1,1,0,0,100,16,322671.598890917,3117263.63538783,1,4.35890197753906
"11",11,-82.81635,28.1734,"ANM2005080206",3,8,2005,1,0,1,-1.3,1.62203800678253,10,0.0139952497556806,15.4800443649292,9.15567874908447,31.4286022186279,0,0,0,0,0,0,19,321681.906212459,3117745.79602331,1,4.40799379348755
"12",12,-82.80885,28.175717,"ANM2005080207",3,8,2005,1,0,0,-1,1.10253119468689,10,0.0139313768595457,15.482476234436,9.1594123840332,31.41921043396,0,0,0,0,0,0,20,322422.175378444,3117991.53628227,1,7.82938146591187
"13",13,-82.806767,28.176667,"ANM2005090102",2,9,2005,1,0,0,-1,1.04322504997253,10,0.0139178335666656,15.4828500747681,9.16027355194092,31.4163875579834,0,0,0,0,0,0,21,322628.272776092,3118093.75640598,1,1.51969337463379
"14",14,-82.80465,28.174033,"ANM2005090103",3,9,2005,1,0,0,-1,0.674036681652069,10,0.0138911865651608,15.4857110977173,9.16044330596924,31.4195346832275,0,0,0,0,0,0,22,322831.796545389,3117798.79211288,1,7.80898857116699
"15",15,-85.0565,29.605,"APM1998033004",2,3,1998,1,0,0,-0.2,0,10,0.0394629091024399,15.8930864334106,13.5554857254028,31.0095481872559,0,0,0,0,0,0,23,107050.657395651,3281896.67837977,1,20.2258949279785
"16",16,-85.0195,29.6015,"APM1998033005",2,3,1998,1,0,0,-0.5,0.369487345218658,10,0.0389808639883995,15.843864440918,13.2703094482422,31.2889995574951,0,0,0,0,0,0,24,110624.377614227,3281383.27762205,1,1.36602115631104
"17",17,-84.6245,29.844833,"APM1998033106",2,3,1998,1,0,0,-0.4,1.45749425888062,10,0.0302321016788483,15.0013580322266,12.2105531692505,31.1853065490723,0,0,0,0,0,0,26,149764.092559003,3307109.38492669,1,5.26236295700073
"18",18,-85.041333,29.601833,"APM1998042105",2,4,1998,1,0,0,-0.3,0.184743717312813,10,0.03919767588377,15.8786544799805,13.6016330718994,31.215705871582,0,0,0,0,0,0,27,108508.86516678,3281493.89830003,1,9.86683654785156
"19",19,-84.964333,29.728667,"APM1998042704",2,4,1998,1,0,0,-0.2,1.09364724159241,10,0.0377123728394508,15.6501483917236,13.9591226577759,30.2878112792969,0,0,0,0,0,0,29,116456.81618936,3295306.64939724,1,0.0013845949433744
"20",20,-84.802667,29.702833,"APM1998042801",2,4,1998,1,0,0,-0.4,1.05233132839203,10,0.0344301834702492,15.372688293457,12.9522542953491,30.7959079742432,0,0,0,0,0,0,30,132015.334715906,3291913.98998211,1,1.45403552055359
"21",21,-84.5655,29.875667,"APM1998050705",2,5,1998,1,1,0,-0.4,1.64298522472382,10,0.0286169741302729,14.797064781189,11.8633594512939,31.1953563690186,0,0,0,0,0,0,32,155575.140514735,3310350.95526852,1,2.14524507522583
"22",22,-84.981833,29.61,"APM1998052204",2,5,1998,1,0,0,-0.3,0.245339944958687,10,0.0380603149533272,15.7739105224609,13.0581579208374,30.8859176635742,0,0,0,0,0,0,33,114308.712813351,3282200.0974523,1,10.2157793045044
"23",23,-84.7565,29.783833,"APM1998060404",2,6,1998,1,0,0,-0.2,0.554246723651886,10,0.0324819162487984,15.2661943435669,12.7741537094116,30.9644355773926,0,0,0,0,0,0,38,136778.900755987,3300752.61007376,1,0.0618657991290092
"24",24,-84.825,29.7565,"APM1998060901",2,6,1998,0,1,0,-0.2,0.277122139930725,10,0.0340085588395596,15.4118709564209,13.1940383911133,30.6064357757568,0,0,0,0,0,0,39,130049.914070544,3297938.70836127,1,9.45869255065918
"25",25,-84.715667,29.746667,"APM1998061001",2,6,1998,0,1,0,-0.2,0.185806095600128,10,0.0330397263169289,15.2046661376953,12.0204410552979,32.5961761474609,0,0,0,0,0,0,41,140597.022776443,3296501.88130879,1,6.30322170257568
"26",26,-84.9685,29.622,"APM1998061104",2,6,1998,1,0,0,-0.3,0.841985702514648,10,0.0370573960244656,15.748140335083,13.3597135543823,30.3296318054199,10,1,0,0,1,10,44,115646.891122006,3283486.98031496,1,1.15592790894681e-09
"27",27,-84.9625,29.727,"APM1998062501",2,6,1998,0,1,0,-0.5,1.39704632759094,10,0.0377655029296875,15.641918182373,13.9459886550903,30.2940292358398,0,0,0,0,0,0,45,116627.948315184,3295115.61567212,1,2.41533803939819
"28",28,-85.066333,29.611333,"APM1998071403",2,7,1998,1,0,0,-0.5,0.320709019899368,10,0.039521899074316,15.8929481506348,13.6713762283325,30.6830425262451,0,0,0,0,0,0,50,106121.999524206,3282632.73647933,1,0.758758544921875
"29",29,-84.815167,29.681667,"APM1998071502",2,7,1998,1,1,0,-0.5,0.184745937585831,10,0.0353626050055027,15.3982238769531,12.2618923187256,31.7273483276367,0,0,0,0,0,0,51,130727.234835443,3289606.00293584,1,0.29278439283371
